name,gender
komal kumari,f
neha,f
sugna,f
radikha,f
meeta sharma,f
anuradha,f
minakshi,f
manpreet,f
saniya,f
savitri bai,f
farheen,f
naina,f
shanichari,f
komal,f
monika  kanwar,f
sangeeta @  pooja,f
suman,f
neha,f
priyanka - pinki,f
kumari ritu,f
manisha,f
krishna w/o hiralal,f
iqrar,f
gali no 5/4 samta vihar m. pur part ii delhi,f
nisha,f
reena,f
tanvi raheja,f
divya,f
hema khatun,f
neelam,f
koshal,f
sunita,f
radha,f
babita,f
komal,f
haseena,f
rajkumari,f
mamita,f
payal,f
soniya w/o jauhar,f
meenakshi,f
neetu,f
tapsya tyagi,f
pooja  d/o,f
mrs. leela,f
rekha,f
anjali,f
supriya,f
pinki,f
smt akhtri begam,f
muskan,f
gayatri,f
ashanjali,f
pooja,f
marjina,f
poonam yadav,f
richa,f
rizwana,f
salmakhatun,f
beera,f
nargis,f
malti,f
rubi,f
seema,f
pooja taneja,f
ramdulari @ gulabu,f
sheela,f
preeti,f
jyoti,f
kumari kanta @ kajal,f
usha sen,f
gauri,f
"preeti d/o daulat ram r/o a-629, jj colony madipur",f
preeti singh,f
gajala parveen,f
ruksana,f
ranjana singh,f
jayanti @ pooja,f
neha parveen,f
nashrin and her daughter jannat (both),f
sagita@harsita,f
hyatun mulla,f
himani,f
arti,f
ms irshrat,f
ms. deepa,f
manisha @ mansi,f
anita,f
sunita,f
suman,f
firida,f
neha,f
salma,f
maya devi,f
disha,f
rajwati,f
manju,f
priyak davi,f
tuba fatima,f
rekha,f
smt kanchan devi,f
radhabai,f
renu rajawat,f
pooja,f
ramila bai,f
najma  & asma,f
najma  & asma,f
sunita,f
muskan,f
noor subha @ heena,f
sunita,f
sunita,f
sunita,f
sunita,f
payal,f
devender kaur,f
rekha,f
shusila devi,f
ameera lakra,f
kavita,f
sona,f
neelam @ munni,f
pooja,f
vinita,f
pooja gop,f
pooja ( with child ),f
mahadevi,f
veenita,f
poonam,f
atta,f
shivani :yadav @ shalu,f
dhola bai,f
vijeta sexana,f
ku aachal,f
sangeeta,f
kajal @ shagun,f
gudiya,f
sajiya katun,f
mooli,f
paryanka,f
rekha meena,f
jyoti,f
laxmi,f
shanti,f
nikita,f
naveela,f
sundga,f
farzana,f
mona,f
gulnaj,f
meena,f
shahin,f
kiran,f
anita,f
amrita,f
marjina,f
kamana devi,f
ram kali,f
chaya,f
shanti devi,f
babita,f
komal,f
yukilal,f
urmila,f
lalita,f
smt sanjana,f
shahin,f
reena,f
madhu,f
miss leela,f
aasha rani,f
chandni,f
rozi,f
shanti,f
joyti,f
priyanka,f
renu gupta,f
krishna,f
w/o kundan kumar,f
chander prabha,f
sushmita,f
,f
muskan,f
paka kanda swamy,f
sanju urf sanjya,f
savitri,f
muskan,f
prinka jha,f
parveen,f
babita,f
pinki,f
rajni,f
shipra,f
km0 komal tomar,f
sony @ madhubala,f
mamta,f
mamta,f
sama,f
jyoti,f
aafrin,f
gyaan kanwar,f
sharda devi,f
muskan,f
manisha,f
jyoti,f
aarti,f
manisha garg,f
komal @ manju,f
deepa,f
versa,f
huma @ nureen jahra,f
aarti,f
meena,f
anjara @ vicky,f
sarla,f
meera devi,f
masuma khatun @ manju,f
poonam,f
jinat,f
sonali,f
shivani,f
deepika,f
nisha,f
pushpa,f
urmila,f
sunita bai,f
ravina,f
shivani,f
sandhya,f
smt. kavita,f
jyoti,f
smt sunita,f
kumari priyanka,f
shabana,f
diksha or beby,f
chameli,f
anam,f
preeti,f
madhu,f
chanda kumari,f
payal,f
rashi,f
yogeshwari goyait,f
sweta kumari,f
sonu,f
santi devi,f
maya devi,f
nisha,f
nisha,f
rakhi,f
sweeti,f
shital,f
nosi,f
nosi,f
pinky verma,f
geeta,f
rita gupta,f
safila,f
robi,f
kamlesh @ gordi,f
pratibha,f
aashi,f
suman,f
ladli,f
partibha,f
mangubai,f
reena,f
kusum,f
rukhsar,f
anita,f
sabiya,f
devi saraswati @ sapna,f
raj rani,f
reena jain,f
sapna,f
aarti,f
harshita chobe,f
simran,f
komal panwar,f
ravina,f
kamlesh mehto,f
shanti devi,f
simmy m.no.-7206252659.,f
rakhi,f
ku. meena,f
tulsi parashar,f
smt. asha,f
meenakshi,f
rekha,f
poonam,f
anita,f
ekta,f
bharti,f
maya,f
rubi,f
shanti,f
chanda,f
anjali,f
neha,f
kiran,f
smt.sushil w/o fateh singh,f
,f
anjli,f
rekha urf annu,f
babita,f
chandra kala,f
yogita,f
khusbu,f
sonali haldar,f
urmila,f
laxmi,f
neeru,f
manju kumari kalbi,f
kiran,f
smt munna kumari,f
maya kvr,f
shalu,f
asha,f
ganga devi,f
ashwani chhabra,f
bhumika chettri,f
parveen,f
asharani,f
arsi praveen,f
mamta,f
gauri,f
gayatri devi,f
munna kawar,f
sonia,f
seeta,f
deepa,f
sarita,f
mamta,f
mansi,f
ramesh roat,f
kanku dendor meena,f
varisha,f
payal,f
kavita,f
bindu,f
anita,f
bhawna,f
suman,f
bindu devi,f
vandita,f
niru,f
jagviri,f
pushpa,f
sangeeta mishra,f
sanju,f
bhuri vishnaw,f
samreen,f
saveena,f
ramkali,f
bindu,f
manisha,f
mona,f
savita devi w/o sandeep patel,f
tarannum @ arshi,f
smariti,f
savitri devi,f
mamta,f
roshni khan,f
pooja,f
tahira,f
rubo kumari,f
pooja,f
dulari,f
monika tyagi,f
kali devi,f
nand kanvari,f
rashmi,f
sayara,f
kiran,f
pooja bhandari,f
tyara,f
sudama,f
sushila,f
gyarsi,f
sonia,f
seema,f
neha,f
bala devi,f
julekha banu @ sitara,f
suman,f
urvarshi,f
renu,f
kalpna,f
nagma,f
aarti,f
geetu,f
nandani,f
bahalen angriya,f
priya,f
rashmi,f
bhavana,f
sangeeta,f
abida,f
anju,f
kumkum,f
kajal,f
jyoti kumari,f
anju,f
renu,f
manoj kanwar,f
guni divy,f
asha devi,f
kali charan,f
nazreen,f
rajni,f
rajni,f
rinki,f
sameena,f
